#   rho[fm-3]     e[MeV.fm-3]   p[MeV.fm-3]
   0.129064E+01  0.199773E+04  0.108844E+04
   0.129663E+01  0.201206E+04  0.109865E+04
   0.130261E+01  0.202644E+04  0.110890E+04
   0.130859E+01  0.204087E+04  0.111920E+04
   0.131458E+01  0.205535E+04  0.112953E+04
   0.132056E+01  0.206987E+04  0.113991E+04
   0.132655E+01  0.208443E+04  0.115033E+04
   0.133253E+01  0.209905E+04  0.116078E+04
   0.133851E+01  0.211371E+04  0.117128E+04
   0.134450E+01  0.212842E+04  0.118182E+04
   0.135048E+01  0.214318E+04  0.119240E+04
   0.135647E+01  0.215798E+04  0.120302E+04
   0.136245E+01  0.217283E+04  0.121369E+04
   0.136843E+01  0.218773E+04  0.122439E+04
   0.137442E+01  0.220267E+04  0.123513E+04
   0.138040E+01  0.221766E+04  0.124592E+04
   0.138639E+01  0.223270E+04  0.125674E+04
   0.139237E+01  0.224779E+04  0.126761E+04
   0.139835E+01  0.226292E+04  0.127851E+04
   0.140434E+01  0.227810E+04  0.128946E+04
   0.141032E+01  0.229332E+04  0.130044E+04
   0.141631E+01  0.230859E+04  0.131147E+04
   0.142229E+01  0.232391E+04  0.132254E+04
   0.142827E+01  0.233927E+04  0.133364E+04
   0.143426E+01  0.235469E+04  0.134479E+04
   0.144024E+01  0.237014E+04  0.135598E+04
   0.144622E+01  0.238565E+04  0.136721E+04
   0.145221E+01  0.240120E+04  0.137847E+04
   0.145819E+01  0.241680E+04  0.138978E+04
   0.146418E+01  0.243244E+04  0.140113E+04
   0.147016E+01  0.244813E+04  0.141252E+04
   0.147614E+01  0.246387E+04  0.142395E+04
   0.148213E+01  0.247965E+04  0.143542E+04
   0.148811E+01  0.249548E+04  0.144693E+04
   0.149410E+01  0.251136E+04  0.145847E+04
   0.150008E+01  0.252728E+04  0.147006E+04
   0.150606E+01  0.254325E+04  0.148169E+04
   0.151205E+01  0.255927E+04  0.149336E+04
   0.151803E+01  0.257533E+04  0.150507E+04
   0.152402E+01  0.259143E+04  0.151682E+04
